"original_name","readable_name"
"ICEberg|199__transposase_of_IS4_","199- transposase of..."
"ICEberg|199__transposase_","199- transposase "
"ICEberg|198__transposase_","198- transposase "
"ICEberg|196__IS26_transposase_","196- IS26 transposase "
"ICEberg|199__IS26_transposase_","199- IS26 transposase "
"ICEberg|200__putative_transposase_protein_","200- putative trans..."
"ICEberg|201__putative_transposase_protein_","201- putative trans..."
"ICEberg|202__putative_transposase_protein_","202- putative trans..."
"ICEberg|203__putative_transposase_protein_","203- putative trans..."
"ICEberg|213__Tnp26_","213- Tnp26 "
